2022-12-17 13:26:46.687232	folder path: saved/riemannian-diffusion/sphere/UniformSlice-64-0.001-100000-0-0-2.0-256-2-0-12345-0.995-100
2022-12-17 13:26:46.687432	Namespace(dataset='UniformSlice', dataroot='data', saveroot='saved', expname='sphere', print_every=100, sample_every=1000, checkpoint_every=1000, evaluate_every=5000, evaluation_K=10, num_steps=100, inference_num_steps=100, evaluation_num_steps=100, seed=12345, T0=2.0, emb_size=256, hidden_layers=2, imp=0, div=None, batch_size=64, val_batch_size=256, test_batch_size=256, lr=0.001, num_iterations=100000, sch=0, warmup_iters=0, ema_decay=0.995, mode='train')
2022-12-17 13:26:47.621523	ConcatSinMLP(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=256, bias=True)
    (1): Sin()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): Sin()
    (4): Linear(in_features=256, out_features=3, bias=True)
  )
)
2022-12-17 13:26:47.621709	cuda unavailable
2022-12-17 13:30:37.518772	Iteration 9600 	loss 2.1796867847442627
2022-12-17 13:30:39.729996	Iteration 9700 	loss 2.250718832015991
2022-12-17 13:30:41.954545	Iteration 9800 	loss 2.1911709308624268
2022-12-17 13:30:44.163605	Iteration 9900 	loss 2.249666213989258
2022-12-17 13:30:46.363651	Iteration 10000 	loss 1.9657539129257202
2022-12-17 13:30:48.707840	Iteration 10100 	loss 2.3163602352142334
2022-12-17 13:30:50.911985	Iteration 10200 	loss 2.5010738372802734
2022-12-17 13:30:53.115332	Iteration 10300 	loss 2.209416151046753
2022-12-17 13:30:55.312641	Iteration 10400 	loss 2.0919318199157715
2022-12-17 13:30:57.525555	Iteration 10500 	loss 2.7393736839294434
2022-12-17 13:31:00.151767	Iteration 10600 	loss 1.9409652948379517
2022-12-17 13:31:02.369827	Iteration 10700 	loss 2.350846290588379
2022-12-17 13:31:04.580939	Iteration 10800 	loss 2.434730291366577
2022-12-17 13:31:06.787364	Iteration 10900 	loss 2.2227351665496826
2022-12-17 13:31:09.003613	Iteration 11000 	loss 2.6043784618377686
2022-12-17 13:31:11.384341	Iteration 11100 	loss 2.278263568878174
2022-12-17 13:31:13.612050	Iteration 11200 	loss 2.154024839401245
2022-12-17 13:31:15.826790	Iteration 11300 	loss 2.7825405597686768
2022-12-17 13:31:18.110336	Iteration 11400 	loss 2.378147840499878
2022-12-17 13:31:20.334281	Iteration 11500 	loss 2.2193732261657715
2022-12-17 13:31:22.687217	Iteration 11600 	loss 1.9934426546096802
2022-12-17 13:31:24.906747	Iteration 11700 	loss 2.0942161083221436
2022-12-17 13:31:27.134677	Iteration 11800 	loss 2.2229971885681152
2022-12-17 13:31:29.351283	Iteration 11900 	loss 2.3284664154052734
2022-12-17 13:31:31.578600	Iteration 12000 	loss 1.936821699142456
2022-12-17 13:31:33.929776	Iteration 12100 	loss 2.7828128337860107
2022-12-17 13:31:36.135702	Iteration 12200 	loss 2.5322506427764893
2022-12-17 13:31:38.369186	Iteration 12300 	loss 2.5190255641937256
2022-12-17 13:31:40.597138	Iteration 12400 	loss 2.343561887741089
2022-12-17 13:31:42.800034	Iteration 12500 	loss 2.2659926414489746
2022-12-17 13:31:45.135831	Iteration 12600 	loss 2.6901838779449463
2022-12-17 13:31:47.354210	Iteration 12700 	loss 2.467294931411743
2022-12-17 13:31:49.554821	Iteration 12800 	loss 2.0288755893707275
2022-12-17 13:31:51.776471	Iteration 12900 	loss 2.464695930480957
2022-12-17 13:31:53.981944	Iteration 13000 	loss 2.221548080444336
2022-12-17 13:31:56.340855	Iteration 13100 	loss 1.8506169319152832
2022-12-17 13:31:58.569936	Iteration 13200 	loss 2.4176459312438965
2022-12-17 13:32:00.843028	Iteration 13300 	loss 2.6114425659179688
2022-12-17 13:32:03.062673	Iteration 13400 	loss 2.496765375137329
2022-12-17 13:32:05.301130	Iteration 13500 	loss 2.3753159046173096
2022-12-17 13:32:07.642493	Iteration 13600 	loss 2.099066734313965
2022-12-17 13:32:09.845106	Iteration 13700 	loss 2.2914721965789795
2022-12-17 13:32:12.043815	Iteration 13800 	loss 1.9293975830078125
2022-12-17 13:32:14.252385	Iteration 13900 	loss 2.218620538711548
2022-12-17 13:32:16.452978	Iteration 14000 	loss 2.1184847354888916
2022-12-17 13:32:18.795321	Iteration 14100 	loss 1.9573625326156616
2022-12-17 13:32:21.006902	Iteration 14200 	loss 2.4587044715881348
2022-12-17 13:32:23.345764	Iteration 14300 	loss 2.512852907180786
2022-12-17 13:32:25.566410	Iteration 14400 	loss 2.2283077239990234
2022-12-17 13:32:27.800247	Iteration 14500 	loss 2.2569997310638428
2022-12-17 13:32:30.187049	Iteration 14600 	loss 2.337488889694214
2022-12-17 13:32:32.408900	Iteration 14700 	loss 1.9790716171264648
2022-12-17 13:32:34.636177	Iteration 14800 	loss 2.4163014888763428
2022-12-17 13:32:36.888100	Iteration 14900 	loss 2.203723907470703
2022-12-17 13:32:39.155123	Iteration 15000 	loss 2.3920652866363525
2022-12-17 13:32:41.783737	Iteration 15100 	loss 2.0641355514526367
2022-12-17 13:32:44.055651	Iteration 15200 	loss 2.183248281478882
2022-12-17 13:32:46.281697	Iteration 15300 	loss 2.3127105236053467
2022-12-17 13:32:48.529373	Iteration 15400 	loss 2.2465555667877197
2022-12-17 13:32:50.716890	Iteration 15500 	loss 2.2116858959198
2022-12-17 13:32:53.033199	Iteration 15600 	loss 2.262230396270752
2022-12-17 13:32:55.264866	Iteration 15700 	loss 2.1898293495178223
2022-12-17 13:32:57.507649	Iteration 15800 	loss 2.3651673793792725
